EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,Salary,YearsAtCompany,PerformanceRating,TrainingHours,DistanceFromHome,OverTime,ProjectTasks,Promotion,Attrition,HireDate,SalaryBand,AgeGroup,TenureGroup
1022,Marketing,Marketing Manager,Male,35,Divorced,Phd,115900.0,1,3,31,5,Yes,10,No,No,2022-12-25,Very High (90K+),26-35,0-1 yrs
1023,Human Resources,HR Executive,Male,45,Married,Bachelor's,53100.0,1,3,51,3,No,17,Yes,No,2022-06-16,Medium (45K-65K),36-45,0-1 yrs
1024,Marketing,Marketing Manager,Male,47,Divorced,Master's,89600.0,3,4,32,1,No,15,Yes,No,2020-09-12,High (65K-90K),46-60,2-3 yrs
1025,Sales,Account Manager,Female,35,Single,High School,67300.0,5,3,32,5,No,14,No,No,2018-10-14,High (65K-90K),26-35,4-7 yrs
1026,Sales,Account Manager,Male,23,Divorced,Bachelor's,79900.0,0,4,49,1,No,11,No,No,2023-03-16,High (65K-90K),18-25,0-1 yrs
1027,Finance,Finance Manager,Female,27,Divorced,Master's,127700.0,9,3,35,2,No,16,No,No,2014-07-27,Very High (90K+),26-35,8+ yrs
1028,Finance,Accountant,Male,39,Married,Master's,79700.0,4,3,35,18,No,11,Yes,No,2019-03-20,High (65K-90K),36-45,4-7 yrs
1029,Human Resources,HR Executive,Male,37,Married,Bachelor's,49900.0,2,2,51,10,No,14,No,No,2021-10-13,Medium (45K-65K),36-45,2-3 yrs
1030,Operations,Operations Manager,Female,45,Single,Phd,88200.0,0,4,43,1,No,15,No,No,2023-11-09,High (65K-90K),36-45,0-1 yrs
1031,Engineering,Engineering Manager,Male,37,Married,Bachelor's,110900.0,0,4,29,6,No,16,No,No,2023-08-19,Very High (90K+),36-45,0-1 yrs
1032,Operations,Operations Manager,Female,46,Married,Master's,88600.0,1,2,28,10,No,7,No,Yes,2022-10-27,High (65K-90K),46-60,0-1 yrs
1033,Marketing,Marketing Executive,Female,43,Single,Master's,72700.0,5,3,46,1,Yes,6,No,No,2018-10-18,High (65K-90K),36-45,4-7 yrs
1034,Sales,Sales Manager,Female,28,Married,Bachelor's,85500.0,1,2,53,7,No,11,No,No,2022-12-12,High (65K-90K),26-35,0-1 yrs
1035,Customer Support,Support Executive,Female,35,Divorced,Master's,51100.0,4,3,61,1,No,8,No,No,2019-10-15,Medium (45K-65K),26-35,4-7 yrs
1036,Finance,Financial Analyst,Female,43,Single,Master's,76900.0,0,5,38,27,Yes,14,No,No,2023-06-05,High (65K-90K),36-45,0-1 yrs
1037,Finance,Accountant,Male,27,Single,Master's,81700.0,9,3,17,1,No,14,No,No,2014-05-13,High (65K-90K),26-35,8+ yrs
1038,Customer Support,Support Team Lead,Female,35,Divorced,Master's,73700.0,5,3,43,36,Yes,8,No,Yes,2018-08-13,High (65K-90K),26-35,4-7 yrs
1039,Customer Support,Support Team Lead,Female,35,Single,Master's,57500.0,10,3,22,9,Yes,8,No,No,2013-08-21,Medium (45K-65K),26-35,8+ yrs
1040,Sales,Sales Executive,Female,35,Married,Bachelor's,59300.0,1,4,44,19,No,13,No,No,2022-03-12,Medium (45K-65K),26-35,0-1 yrs
1041,Finance,Accountant,Male,35,Divorced,Bachelor's,75000.0,8,3,97,9,No,12,No,No,2015-09-25,High (65K-90K),26-35,8+ yrs
1042,Customer Support,Support Team Lead,Male,35,Married,Master's,67900.0,2,3,42,1,No,8,No,No,2021-04-17,High (65K-90K),26-35,2-3 yrs
1043,Marketing,Content Strategist,Male,55,Single,Bachelor's,59900.0,1,3,11,1,Yes,8,No,No,2022-10-04,Medium (45K-65K),46-60,0-1 yrs
1044,Marketing,Marketing Manager,Male,31,Married,High School,80500.0,3,3,48,1,No,6,No,No,2020-05-20,High (65K-90K),26-35,2-3 yrs
1045,Operations,Operations Executive,Male,35,Divorced,Master's,64200.0,3,5,30,10,Yes,12,No,Yes,2020-07-14,Medium (45K-65K),26-35,2-3 yrs
1046,Human Resources,HR Executive,Female,38,Single,Bachelor's,53700.0,1,3,33,1,Yes,5,No,No,2022-11-25,Medium (45K-65K),36-45,0-1 yrs
1047,Operations,Operations Manager,Female,39,Married,Master's,80600.0,2,4,52,1,No,13,No,No,2021-12-30,High (65K-90K),36-45,2-3 yrs
1048,Human Resources,HR Manager,Male,20,Married,Master's,85600.0,2,4,45,7,Yes,18,No,No,2021-05-13,High (65K-90K),18-25,2-3 yrs
1049,Engineering,Qa Engineer,Female,21,Married,Phd,119700.0,2,4,32,1,No,11,No,No,2021-03-27,Very High (90K+),18-25,2-3 yrs
1050,Operations,Operations Executive,Female,51,Single,Bachelor's,51900.0,0,3,20,4,No,11,No,No,2023-04-28,Medium (45K-65K),46-60,0-1 yrs
1051,Finance,Accountant,Male,49,Married,Master's,73000.0,5,3,18,3,No,12,Yes,No,2018-09-06,High (65K-90K),46-60,4-7 yrs
1052,IT,IT Manager,Male,56,Married,Bachelor's,111500.0,9,3,36,7,No,12,No,No,2014-06-02,Very High (90K+),46-60,8+ yrs
1053,IT,IT Manager,Female,36,Divorced,High School,90800.0,2,5,49,4,No,14,No,Yes,2021-06-16,Very High (90K+),36-45,2-3 yrs
1054,IT,IT Manager,Female,35,Single,Bachelor's,107100.0,2,4,32,3,No,12,No,No,2021-06-16,Very High (90K+),26-35,2-3 yrs
1055,Customer Support,Support Team Lead,Female,29,Divorced,Master's,70300.0,0,5,52,7,No,13,No,No,2023-12-19,High (65K-90K),26-35,0-1 yrs
1056,Human Resources,Recruiter,Male,40,Married,Master's,61600.0,8,3,48,13,No,9,No,No,2015-06-23,Medium (45K-65K),36-45,8+ yrs
1057,Marketing,Marketing Manager,Male,34,Divorced,High School,79400.0,2,1,41,3,Yes,18,No,No,2021-11-27,High (65K-90K),26-35,2-3 yrs
1058,Sales,Sales Executive,Female,31,Single,Bachelor's,56000.0,7,1,40,14,Yes,15,Yes,No,2016-09-13,Medium (45K-65K),26-35,4-7 yrs
1059,Operations,Operations Manager,Female,41,Divorced,Bachelor's,67600.0,2,4,35,18,No,10,Yes,No,2021-07-26,High (65K-90K),36-45,2-3 yrs
1060,Human Resources,Recruiter,Male,29,Married,Bachelor's,63500.0,11,4,68,4,No,16,Yes,No,2012-09-01,Medium (45K-65K),26-35,8+ yrs
1061,Human Resources,Recruiter,Female,25,Single,Master's,64900.0,5,4,21,12,No,9,Yes,No,2018-04-05,Medium (45K-65K),18-25,4-7 yrs
1062,IT,IT Manager,Male,34,Married,Bachelor's,98300.0,3,3,35,1,No,15,No,No,2020-05-11,Very High (90K+),26-35,2-3 yrs
1063,Engineering,Qa Engineer,Male,38,Divorced,Bachelor's,82900.0,4,4,31,1,No,10,No,No,2019-05-24,High (65K-90K),36-45,4-7 yrs
1064,Marketing,Marketing Manager,Female,36,Married,Master's,108900.0,8,2,57,23,Yes,10,No,Yes,2015-06-23,Very High (90K+),36-45,8+ yrs
1065,Customer Support,Support Executive,Male,28,Married,Bachelor's,47000.0,7,3,36,4,No,10,No,No,2016-08-14,Medium (45K-65K),26-35,4-7 yrs
1066,Sales,Account Manager,Female,34,Married,High School,66000.0,3,4,59,7,No,15,No,No,2020-04-25,High (65K-90K),26-35,2-3 yrs
1067,Operations,Operations Executive,Male,34,Married,Bachelor's,56700.0,1,4,46,2,No,12,No,No,2022-07-09,Medium (45K-65K),26-35,0-1 yrs
1068,IT,IT Manager,Male,43,Married,Bachelor's,118400.0,24,3,47,5,Yes,12,No,Yes,1999-11-07,Very High (90K+),36-45,8+ yrs
1069,Engineering,Senior Engineer,Male,48,Divorced,Bachelor's,127500.0,3,4,54,7,No,11,No,No,2020-08-03,Very High (90K+),46-60,2-3 yrs
1070,Finance,Accountant,Male,43,Married,High School,59200.0,4,3,37,3,Yes,6,No,Yes,2019-10-30,Medium (45K-65K),36-45,4-7 yrs
1071,Operations,Operations Executive,Female,28,Married,Master's,75500.0,10,3,42,9,No,4,No,No,2013-05-04,High (65K-90K),26-35,8+ yrs
1072,Human Resources,HR Executive,Male,38,Single,High School,52300.0,8,4,51,4,Yes,17,No,No,2015-11-21,Medium (45K-65K),36-45,8+ yrs
1073,Finance,Financial Analyst,Male,45,Divorced,Bachelor's,79500.0,21,4,32,7,Yes,13,No,No,2002-05-25,High (65K-90K),36-45,8+ yrs
1074,Marketing,Content Strategist,Female,34,Divorced,Bachelor's,70300.0,9,4,3,2,No,8,No,No,2014-09-17,High (65K-90K),26-35,8+ yrs
1075,Marketing,Content Strategist,Male,35,Single,Bachelor's,69800.0,7,4,40,15,Yes,10,No,No,2016-08-06,High (65K-90K),26-35,4-7 yrs
1076,Sales,Sales Executive,Male,20,Single,Bachelor's,60000.0,0,4,19,8,No,14,No,No,2023-09-22,Medium (45K-65K),18-25,0-1 yrs
1077,IT,IT Support,Male,21,Single,Master's,80900.0,0,5,59,5,Yes,12,No,Yes,2023-03-16,High (65K-90K),18-25,0-1 yrs
1078,Marketing,Marketing Manager,Male,48,Married,Master's,107100.0,9,4,55,4,No,12,Yes,No,2014-12-14,Very High (90K+),46-60,8+ yrs
1079,IT,IT Manager,Male,40,Divorced,Bachelor's,97800.0,6,2,60,1,No,5,No,No,2017-08-18,Very High (90K+),36-45,4-7 yrs
1080,Sales,Sales Executive,Male,47,Single,Master's,70400.0,2,5,43,12,No,3,No,No,2021-11-16,High (65K-90K),46-60,2-3 yrs
1081,Operations,Operations Manager,Male,49,Single,Bachelor's,90100.0,9,2,19,1,No,11,No,No,2014-06-12,Very High (90K+),46-60,8+ yrs
1082,Sales,Sales Manager,Male,42,Married,Bachelor's,77500.0,1,2,39,3,No,13,Yes,No,2022-03-30,High (65K-90K),36-45,0-1 yrs
1083,Operations,Operations Manager,Male,23,Married,Bachelor's,67400.0,0,4,50,1,No,7,Yes,No,2023-03-26,High (65K-90K),18-25,0-1 yrs
1084,Engineering,Engineering Manager,Male,39,Divorced,Master's,152100.0,2,2,36,1,No,10,No,Yes,2021-03-25,Very High (90K+),36-45,2-3 yrs
1085,Sales,Account Manager,Male,30,Single,Bachelor's,70700.0,0,4,28,1,No,6,No,Yes,2023-04-21,High (65K-90K),26-35,0-1 yrs
1086,Marketing,Content Strategist,Female,33,Married,Bachelor's,59800.0,2,3,38,12,Yes,12,No,No,2021-04-16,Medium (45K-65K),26-35,2-3 yrs
1087,Engineering,Software Engineer,Male,28,Divorced,Master's,121900.0,10,3,43,1,Yes,15,No,Yes,2013-03-09,Very High (90K+),26-35,8+ yrs
1088,Operations,Operations Executive,Male,29,Divorced,Bachelor's,53100.0,6,3,31,5,No,7,No,No,2017-09-02,Medium (45K-65K),26-35,4-7 yrs
1089,IT,IT Support,Female,21,Married,Bachelor's,74600.0,3,3,60,1,No,15,No,No,2020-10-16,High (65K-90K),18-25,2-3 yrs
1090,Operations,Operations Executive,Male,26,Single,Phd,75900.0,8,3,25,4,No,12,No,No,2015-05-15,High (65K-90K),26-35,8+ yrs
1091,Sales,Account Manager,Male,20,Single,Master's,87700.0,1,5,43,1,No,7,No,No,2022-06-12,High (65K-90K),18-25,0-1 yrs
1092,Human Resources,HR Manager,Female,29,Married,Master's,75500.0,1,3,43,9,No,15,No,No,2022-03-30,High (65K-90K),26-35,0-1 yrs
1093,Sales,Account Manager,Male,34,Single,Master's,89200.0,0,5,62,7,No,10,Yes,No,2023-11-11,High (65K-90K),26-35,0-1 yrs
1094,Operations,Operations Executive,Female,49,Single,Phd,64700.0,0,2,60,6,No,6,No,No,2023-04-05,Medium (45K-65K),46-60,0-1 yrs
1095,IT,IT Manager,Female,22,Divorced,Bachelor's,88600.0,0,3,48,2,No,10,No,No,2023-03-09,High (65K-90K),18-25,0-1 yrs
1096,Engineering,Senior Engineer,Male,31,Single,Bachelor's,112900.0,1,3,2,32,No,14,No,No,2022-03-28,Very High (90K+),26-35,0-1 yrs
1097,Engineering,Software Engineer,Male,32,Divorced,Bachelor's,110400.0,14,4,26,13,No,9,No,No,2009-08-03,Very High (90K+),26-35,8+ yrs
1098,Finance,Accountant,Female,30,Married,Bachelor's,75900.0,5,3,70,2,No,18,No,No,2018-06-14,High (65K-90K),26-35,4-7 yrs
1099,Marketing,Marketing Executive,Female,29,Single,Master's,66700.0,1,4,48,5,No,10,No,No,2022-08-08,High (65K-90K),26-35,0-1 yrs
1100,Finance,Finance Manager,Female,32,Married,Bachelor's,92400.0,4,3,22,5,No,13,No,No,2019-10-24,Very High (90K+),26-35,4-7 yrs
1101,Human Resources,Recruiter,Female,29,Divorced,Bachelor's,47700.0,2,3,40,1,No,9,No,No,2021-07-18,Medium (45K-65K),26-35,2-3 yrs
1102,IT,IT Support,Male,41,Married,Master's,88400.0,5,5,29,4,No,21,No,No,2018-08-24,High (65K-90K),36-45,4-7 yrs
1103,Operations,Operations Manager,Female,40,Single,Bachelor's,89100.0,8,2,36,1,Yes,12,No,No,2015-06-14,High (65K-90K),36-45,8+ yrs
1104,Customer Support,Support Executive,Female,35,Married,High School,34500.0,0,3,47,14,No,18,No,No,2023-06-20,Low (<45K),26-35,0-1 yrs
1105,Customer Support,Support Executive,Female,38,Divorced,Bachelor's,39800.0,1,4,33,1,No,14,No,No,2022-05-09,Low (<45K),36-45,0-1 yrs
1106,Marketing,Content Strategist,Male,44,Married,Bachelor's,58900.0,3,5,35,13,No,15,Yes,No,2020-04-01,Medium (45K-65K),36-45,2-3 yrs
1107,Engineering,Qa Engineer,Male,20,Divorced,Master's,96700.0,2,4,24,11,No,5,Yes,No,2021-06-03,Very High (90K+),18-25,2-3 yrs
1108,Human Resources,HR Manager,Female,35,Divorced,Phd,103600.0,11,3,53,7,No,12,No,No,2012-07-02,Very High (90K+),26-35,8+ yrs
1109,Human Resources,Recruiter,Male,21,Single,Phd,68800.0,0,4,57,7,No,15,Yes,No,2023-05-14,High (65K-90K),18-25,0-1 yrs
1110,Human Resources,Recruiter,Male,35,Single,Master's,59100.0,7,5,23,10,No,8,Yes,No,2016-03-19,Medium (45K-65K),26-35,4-7 yrs
1111,Finance,Financial Analyst,Female,35,Single,Master's,88800.0,7,4,32,3,No,17,No,No,2017-01-01,High (65K-90K),26-35,4-7 yrs
1112,Marketing,Marketing Executive,Female,30,Single,Bachelor's,54900.0,0,4,54,8,No,15,Yes,Yes,2023-09-02,Medium (45K-65K),26-35,0-1 yrs
1113,Customer Support,Support Executive,Male,38,Divorced,High School,37200.0,1,4,68,1,Yes,12,No,Yes,2022-06-30,Low (<45K),36-45,0-1 yrs
1114,Human Resources,HR Manager,Male,42,Divorced,Phd,93000.0,2,2,42,7,No,22,No,No,2021-12-01,Very High (90K+),36-45,2-3 yrs
1115,Operations,Operations Manager,Male,35,Married,Bachelor's,84900.0,5,4,50,9,Yes,13,No,Yes,2018-11-30,High (65K-90K),26-35,4-7 yrs
1116,Engineering,Engineering Manager,Female,24,Married,Master's,142900.0,4,4,42,20,No,12,No,No,2019-05-27,Very High (90K+),18-25,4-7 yrs
1117,Human Resources,Recruiter,Male,26,Divorced,Master's,68800.0,8,5,38,1,No,22,No,No,2015-09-09,High (65K-90K),26-35,8+ yrs
1118,IT,System Administrator,Female,39,Married,Bachelor's,63800.0,2,4,56,1,No,9,No,No,2021-10-15,Medium (45K-65K),36-45,2-3 yrs
1119,Operations,Operations Executive,Male,25,Divorced,High School,53000.0,3,3,15,3,No,17,No,No,2020-03-07,Medium (45K-65K),18-25,2-3 yrs
1120,Customer Support,Support Executive,Male,27,Married,Master's,47700.0,3,5,23,1,No,11,No,No,2020-07-26,Medium (45K-65K),26-35,2-3 yrs
1121,Customer Support,Support Executive,Female,20,Single,Bachelor's,42100.0,2,4,39,6,No,7,No,No,2021-11-04,Low (<45K),18-25,2-3 yrs
1122,Marketing,Content Strategist,Male,39,Divorced,Bachelor's,66900.0,16,4,28,45,No,11,Yes,No,2007-08-22,High (65K-90K),36-45,8+ yrs
1123,Sales,Sales Executive,Male,58,Married,Master's,66400.0,0,5,40,1,Yes,11,No,No,2023-06-10,High (65K-90K),46-60,0-1 yrs
1124,Human Resources,HR Executive,Female,36,Divorced,Phd,59900.0,1,2,78,1,Yes,7,No,Yes,2022-06-26,Medium (45K-65K),36-45,0-1 yrs
1125,Marketing,Content Strategist,Male,32,Single,Phd,77900.0,3,4,62,4,Yes,7,Yes,No,2020-11-21,High (65K-90K),26-35,2-3 yrs
1126,Marketing,Marketing Manager,Female,36,Married,Bachelor's,88400.0,1,3,37,2,Yes,14,No,No,2022-11-06,High (65K-90K),36-45,0-1 yrs
1127,Marketing,Content Strategist,Female,25,Single,Bachelor's,54000.0,0,4,66,10,Yes,11,Yes,No,2023-09-19,Medium (45K-65K),18-25,0-1 yrs
1128,Marketing,Marketing Executive,Female,35,Single,Master's,64100.0,1,3,41,1,Yes,11,No,No,2022-06-21,Medium (45K-65K),26-35,0-1 yrs
1129,Finance,Finance Manager,Male,24,Married,Master's,99300.0,0,3,50,10,No,12,Yes,Yes,2023-11-23,Very High (90K+),18-25,0-1 yrs
1130,Customer Support,Support Team Lead,Female,37,Single,Master's,72000.0,2,3,30,18,No,8,No,No,2021-05-11,High (65K-90K),36-45,2-3 yrs
1131,Customer Support,Support Executive,Male,37,Married,Bachelor's,46700.0,2,3,21,13,No,7,No,No,2021-07-12,Medium (45K-65K),36-45,2-3 yrs
1132,Finance,Accountant,Female,27,Divorced,High School,61300.0,2,4,51,4,No,6,No,No,2021-10-18,Medium (45K-65K),26-35,2-3 yrs
1133,Finance,Financial Analyst,Male,20,Divorced,Bachelor's,71900.0,1,3,65,11,Yes,15,No,No,2022-05-09,High (65K-90K),18-25,0-1 yrs
1134,Operations,Operations Manager,Female,34,Single,Master's,92400.0,8,3,72,2,No,14,No,No,2015-12-06,Very High (90K+),26-35,8+ yrs
1135,Customer Support,Support Executive,Male,36,Married,Bachelor's,53600.0,18,2,37,1,Yes,5,No,No,2005-04-21,Medium (45K-65K),36-45,8+ yrs
1136,IT,System Administrator,Female,39,Single,Phd,96500.0,4,4,32,1,No,14,No,No,2019-07-22,Very High (90K+),36-45,4-7 yrs
1137,Operations,Operations Executive,Female,37,Married,Bachelor's,56900.0,4,4,54,1,No,11,No,No,2019-12-13,Medium (45K-65K),36-45,4-7 yrs
1138,Finance,Finance Manager,Male,42,Single,Bachelor's,94100.0,2,3,34,7,No,12,No,No,2021-07-12,Very High (90K+),36-45,2-3 yrs
1139,Sales,Account Manager,Female,29,Divorced,High School,68300.0,1,2,18,10,No,14,No,Yes,2022-10-17,High (65K-90K),26-35,0-1 yrs
1140,Customer Support,Support Executive,Female,20,Divorced,Bachelor's,44700.0,2,3,41,1,No,12,No,No,2021-11-19,Low (<45K),18-25,2-3 yrs
1141,Marketing,Content Strategist,Male,29,Divorced,Master's,71100.0,3,4,41,3,No,10,No,No,2020-04-07,High (65K-90K),26-35,2-3 yrs
1142,Human Resources,Recruiter,Female,37,Married,Bachelor's,52300.0,0,1,69,4,Yes,11,No,Yes,2023-04-28,Medium (45K-65K),36-45,0-1 yrs
1143,Finance,Financial Analyst,Female,41,Single,Bachelor's,75600.0,8,3,31,2,No,4,No,No,2015-04-09,High (65K-90K),36-45,8+ yrs
1144,Sales,Account Manager,Male,45,Married,Master's,95900.0,0,2,20,6,Yes,11,No,Yes,2023-10-09,Very High (90K+),36-45,0-1 yrs
1145,Operations,Operations Executive,Male,38,Married,Master's,69100.0,8,3,49,9,No,10,No,No,2015-09-06,High (65K-90K),36-45,8+ yrs
1146,Finance,Accountant,Female,40,Single,Master's,73800.0,3,5,52,1,No,12,No,No,2020-05-10,High (65K-90K),36-45,2-3 yrs
1147,Marketing,Marketing Manager,Male,25,Single,Bachelor's,98200.0,7,3,55,23,No,16,No,Yes,2016-05-01,Very High (90K+),18-25,4-7 yrs
1148,Customer Support,Support Executive,Female,34,Single,Bachelor's,45900.0,9,2,18,1,No,14,No,No,2014-10-20,Medium (45K-65K),26-35,8+ yrs
1149,IT,IT Support,Female,36,Married,Bachelor's,73200.0,2,3,32,1,No,13,No,No,2021-06-24,High (65K-90K),36-45,2-3 yrs
1150,Finance,Accountant,Female,20,Single,Bachelor's,64500.0,2,1,53,7,No,13,No,No,2021-10-23,Medium (45K-65K),18-25,2-3 yrs
1151,Sales,Sales Manager,Female,35,Divorced,Bachelor's,97500.0,13,4,55,45,No,16,No,No,2010-12-26,Very High (90K+),26-35,8+ yrs
1152,Marketing,Marketing Executive,Female,28,Divorced,Bachelor's,59500.0,2,4,53,33,No,13,Yes,No,2021-10-31,Medium (45K-65K),26-35,2-3 yrs
1153,Sales,Sales Executive,Male,30,Single,Master's,68200.0,2,3,61,2,No,10,No,No,2021-04-13,High (65K-90K),26-35,2-3 yrs
1154,Finance,Finance Manager,Male,27,Single,Bachelor's,88600.0,1,4,10,9,No,7,No,No,2022-04-08,High (65K-90K),26-35,0-1 yrs
1155,Customer Support,Support Executive,Female,43,Divorced,Bachelor's,50500.0,14,4,36,7,No,16,No,No,2009-06-20,Medium (45K-65K),36-45,8+ yrs
1156,Customer Support,Support Team Lead,Female,49,Single,Bachelor's,58100.0,3,2,32,1,No,9,No,No,2020-07-15,Medium (45K-65K),46-60,2-3 yrs
1157,Engineering,Software Engineer,Male,29,Divorced,Bachelor's,93000.0,0,4,57,17,No,10,No,No,2023-10-24,Very High (90K+),26-35,0-1 yrs
1158,Human Resources,Recruiter,Female,24,Single,Bachelor's,56600.0,6,3,45,2,No,10,No,No,2017-07-28,Medium (45K-65K),18-25,4-7 yrs
1159,IT,IT Manager,Male,36,Married,High School,79200.0,4,4,17,1,No,10,No,No,2019-07-17,High (65K-90K),36-45,4-7 yrs
1160,Marketing,Marketing Executive,Female,40,Married,Bachelor's,62500.0,0,3,48,6,No,16,No,No,2023-04-22,Medium (45K-65K),36-45,0-1 yrs
1161,Operations,Operations Manager,Female,33,Divorced,Bachelor's,71400.0,2,4,28,10,No,8,No,No,2021-10-01,High (65K-90K),26-35,2-3 yrs
1162,Marketing,Marketing Manager,Male,34,Married,Bachelor's,85400.0,1,3,0,7,No,8,No,No,2022-07-06,High (65K-90K),26-35,0-1 yrs
1163,Operations,Operations Executive,Female,30,Married,Phd,73600.0,5,4,55,2,Yes,12,No,No,2018-11-25,High (65K-90K),26-35,4-7 yrs
1164,IT,System Administrator,Male,37,Single,Master's,79200.0,5,3,46,14,Yes,14,No,No,2018-12-16,High (65K-90K),36-45,4-7 yrs
1165,Engineering,Software Engineer,Male,44,Divorced,Master's,108900.0,4,3,57,1,Yes,10,No,Yes,2019-06-27,Very High (90K+),36-45,4-7 yrs
1166,Customer Support,Support Team Lead,Female,27,Married,Master's,68700.0,6,3,46,5,No,13,No,No,2017-12-20,High (65K-90K),26-35,4-7 yrs
1167,Engineering,Qa Engineer,Male,36,Married,Phd,111500.0,4,2,40,8,No,17,No,Yes,2019-04-26,Very High (90K+),36-45,4-7 yrs
1168,Finance,Financial Analyst,Male,36,Divorced,High School,61600.0,0,3,48,3,No,12,No,Yes,2023-07-22,Medium (45K-65K),36-45,0-1 yrs
1169,Customer Support,Support Executive,Male,40,Single,Bachelor's,45700.0,0,3,42,9,No,11,No,No,2023-06-30,Medium (45K-65K),36-45,0-1 yrs
1170,Finance,Financial Analyst,Female,31,Married,Master's,74400.0,6,3,12,7,Yes,15,No,No,2017-03-26,High (65K-90K),26-35,4-7 yrs
1171,Engineering,Software Engineer,Male,29,Married,Bachelor's,85000.0,7,4,45,1,No,11,No,No,2016-11-26,High (65K-90K),26-35,4-7 yrs
1172,Engineering,Engineering Manager,Female,20,Married,Bachelor's,127100.0,2,4,14,45,Yes,10,No,No,2021-03-07,Very High (90K+),18-25,2-3 yrs
1173,Engineering,Senior Engineer,Male,21,Single,Phd,163800.0,0,2,7,9,No,16,No,Yes,2023-09-08,Very High (90K+),18-25,0-1 yrs
1174,Customer Support,Support Team Lead,Female,46,Divorced,Bachelor's,65100.0,1,4,36,23,Yes,7,No,No,2022-11-15,High (65K-90K),46-60,0-1 yrs
1175,Engineering,Senior Engineer,Male,51,Married,Master's,134600.0,2,3,23,33,No,15,No,No,2021-12-18,Very High (90K+),46-60,2-3 yrs
1176,Human Resources,HR Executive,Female,33,Single,Master's,55000.0,1,3,41,3,No,11,No,No,2022-04-22,Medium (45K-65K),26-35,0-1 yrs
