EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,Salary,YearsAtCompany,PerformanceRating,TrainingHours,DistanceFromHome,OverTime,ProjectTasks,Promotion,Attrition,HireDate
1823,IT,System Administrator,Female,39.0,Divorced,Bachelor's,64700.0,3,4.0,53.0,4,No,15,No,No,2020-12-16
2062,Operations,Operations Manager,Male,28.0,Single,Bachelor's,73200.0,2,3.0,36.0,1,No,17,No,No,2021-05-22
1161,Operations,Operations Manager,Female,33.0,Divorced,Bachelor's,71400.0,2,4.0,28.0,10,No,8,No,No,2021-10-01
2137,Engineering,Software Engineer,Female,33.0,Divorced,High School,92200.0,13,,26.0,5,No,14,No,No,2010-12-03
1767,IT,IT Support,Female,47.0,Divorced,Bachelor's,84200.0,18,2.0,53.0,12,No,16,No,No,2005-10-13
1675,Operations,Operations Manager,Female,21.0,Married,Bachelor's,78100.0,1,2.0,30.0,19,No,17,No,No,2022-07-05
1552,Engineering,Senior Engineer,Female,42.0,Divorced,Bachelor's,135800.0,11,4.0,47.0,1,Yes,14,Yes,No,2012-11-20
1040,Sales,Sales Executive,Female,,Married,Bachelor's,59300.0,1,4.0,44.0,19,No,13,No,No,2022-03-12
1671,Sales,Sales Executive,Male,42.0,Divorced,Master's,67300.0,7,3.0,28.0,4,No,14,No,No,2016-04-11
1463,ENGINEERING,Engineering Manager,Male,39.0,Single,Master's,150400.0,1,3.0,48.0,24,Yes,7,No,Yes,2022-08-05
1577,Marketing,Content Strategist,Male,38.0,Married,Bachelor's,56800.0,0,4.0,43.0,1,No,7,No,No,2023-07-16
1302,FINANCE,Accountant,Male,39.0,Divorced,Bachelor's,70600.0,2,4.0,12.0,12,No,12,No,No,2021-09-04
1702,Operations,Operations Manager,Female,27.0,Divorced,Bachelor's,67500.0,1,3.0,43.0,2,No,6,No,No,2022-06-03
1692,Marketing,Marketing Manager,Female,31.0,Married,Bachelor's,87700.0,1,2.0,25.0,4,No,19,No,No,2022-09-03
2148,Finance,Financial Analyst,Female,29.0,Married,Bachelor's,59900.0,1,3.0,29.0,1,No,10,No,Yes,2022-06-07
1078,Marketing,Marketing Manager,Male,48.0,Married,Master's,107100.0,9,4.0,55.0,4,No,12,Yes,No,2014-12-14
2140,IT,System Administrator,Male,44.0,Divorced,Bachelor's,68100.0,5,1.0,28.0,4,No,13,No,Yes,2018-10-31
1966,Marketing,Content Strategist,Male,28.0,Single,PhD,80100.0,3,3.0,26.0,1,No,17,Yes,No,2020-09-15
1455,Operations,Operations Manager,Female,42.0,Divorced,High School,62600.0,3,3.0,53.0,3,Yes,12,No,No,2020-09-28
2265,OPERATIONS,Operations Executive,Female,45.0,Married,Bachelor's,53100.0,0,,40.0,2,Yes,10,Yes,No,2023-12-28
1944,Customer Support,Support Team Lead,Male,30.0,Married,Master's,79800.0,5,4.0,39.0,3,Yes,4,No,No,2018-06-28
1588,Engineering, Engineering Manager  ,Male,27.0,Single,Master's,142800.0,1,4.0,47.0,18,No,10,No,No,2022-07-06
1419,IT,IT Manager,Male,20.0,Divorced,High School,94200.0,2,3.0,42.0,3,No,16,No,No,2021-09-09
2153,Engineering,Senior Engineer,Male,33.0,Divorced,Master's,150600.0,4,4.0,21.0,3,No,12,No,No,2019-09-17
1772,ENGINEERING,Engineering Manager,Male,28.0,Married,Bachelor's,122700.0,2,2.0,35.0,3,No,12,No,No,2021-07-19
2115,IT,System Administrator,male,41.0,Divorced,Bachelor's,71300.0,0,4.0,7.0,1,No,13,No,No,2023-07-13
1167,Engineering,QA Engineer,Male,36.0,Married,PhD,111500.0,4,2.0,40.0,8,No,17,No,Yes,2019-04-26
1618,Customer Support,Support Executive,Female,25.0,Divorced,Master's,55300.0,4,4.0,45.0,10,No,17,No,No,25/03/2019
1413,Finance,Financial Analyst,Male,28.0,Divorced,Master's,77000.0,4,4.0,51.0,8,No,9,Yes,No,2019-11-29
2241,Engineering,Senior Engineer,Male,23.0,Divorced,Bachelor's,123600.0,5,3.0,63.0,26,No,10,No,No,2018-08-21
1603,Finance, Financial Analyst  ,Male,37.0,Married,Bachelor's,75500.0,5,4.0,12.0,12,No,16,Yes,N,2018-10-28
1069,Engineering,Senior Engineer,male,48.0,Divorced,Bachelor's,127500.0,3,4.0,54.0,7,No,11,No,No,2020-08-03
1336,HUMAN RESOURCES,Recruiter,Male,30.0,Divorced,PhD,81600.0,12,4.0,42.0,9,Yes,9,No,No,2011-12-01
1450,Operations,Operations Manager,Male,33.0,Divorced,Master's,98800.0,6,3.0,15.0,4,No,10,No,No,2017-09-22
2125,Marketing,Content Strategist,Female,20.0,Divorced,PhD,78300.0,0,4.0,33.0,5,No,9,No,No,2023-04-17
2347,Engineering,QA Engineer,Female,27.0,Single,Master's,105100.0,1,3.0,30.0,6,No,11,Yes,No,2022-06-05
2097,Marketing,Marketing Executive,Female,-5.0,Single,Bachelor's,,2,5.0,26.0,6,Yes,15,No,Yes,2021-08-14
2370,Human Resources,HR Executive,Female,30.0,Divorced,PhD,72600.0,3,5.0,45.0,15,No,15,Yes,No,2020-10-31
1971,Sales,Sales Manager,Male,29.0,Married,Bachelor's,82700.0,1,5.0,39.0,4,No,8,No,No,2022-06-15
2303,Engineering,Engineering Manager,Male,32.0,Single,Bachelor's,115600.0,2,5.0,29.0,7,No,10,No,No,2021-08-04
1583,IT,System Administrator,Male,38.0,Single,Bachelor's,65200.0,1,4.0,47.0,13,No,4,Yes,No,2022-08-19
1723,Customer Support,Support Executive,Female,43.0,Married,Bachelor's,40000.0,0,3.0,43.0,5,No,14,No,No,2023-05-30
1622,Operations,Operations Manager,Male,24.0,Divorced,Master's,86700.0,6,1.0,43.0,27,No,8,No,Yes,02/09/2017
1486,Engineering,Software Engineer,Male,37.0,Divorced,Bachelor's,92500.0,4,4.0,38.0,10,No,7,No,Yes,2019-06-22
2186,IT,IT Support,Female,31.0,Married,Bachelor's,69300.0,2,4.0,14.0,4,Yes,19,Yes,Yes,2021-03-26
1318,Sales,Sales Executive,Male,20.0,Single,Master's,65800.0,2,2.0,43.0,1,No,11,No,No,2021-06-24
2136,Marketing,Marketing Manager,Male,41.0,Single,Master's,124100.0,21,3.0,45.0,1,No,12,No,No,2002-07-22
1511,Sales,Sales Manager,Female,30.0,Single,Master's,,12,2.0,37.0,15,Yes,9,No,Yes,2011-08-19
1830,Marketing,Marketing Executive,male,20.0,Married,Bachelor's,61000.0,0,2.0,20.0,1,No,13,No,Yes,2023-03-16
1494,Customer Support,Support Team Lead,Female,32.0,Single,Bachelor's,75800.0,14,2.0,32.0,6,No,14,No,No,06/04/2009
2335,Operations,Operations Manager,Female,52.0,Divorced,Master's,94000.0,3,3.0,38.0,2,No,16,No,No,2020-11-26
1561,Operations,Operations Manager,Male,36.0,Married,Bachelor's,69000.0,3,3.0,46.0,5,No,7,No,No,2020-03-13
2069,ENGINEERING,Engineering Manager,Male,40.0,Married,Bachelor's,108100.0,0,5.0,11.0,10,No,5,Yes,No,2023-12-17
1880,IT,IT Manager,Female,40.0,Single,Master's,120600.0,7,4.0,47.0,1,Yes,14,Yes,Yes,2016-11-18
1114,Human Resources,HR Manager,Male,42.0,Divorced,PhD,93000.0,2,2.0,42.0,7,No,22,No,No,2021-12-01
1108,HUMAN RESOURCES,HR Manager,Female,35.0,Divorced,PhD,103600.0,11,,53.0,7,No,12,No,No,2012-07-02
1758,Human Resources,HR Manager,Male,47.0,Married,Bachelor's,82900.0,10,4.0,43.0,1,Yes,15,No,N,2013-11-23
1432,Human Resources,HR Executive,male,47.0,Divorced,Master's,61400.0,0,,39.0,2,No,13,No,Yes,27/10/2023
1517,IT,IT Manager,Male,31.0,Divorced,Master's,116200.0,4,3.0,44.0,1,No,6,No,No,2019-09-01
1186,Customer Support,Support Team Lead,Male,30.0,Single,Bachelor's,60400.0,0,5.0,67.0,16,No,13,Yes,No,2023-08-01
1786,Operations,Operations Executive,Male,35.0,Single,PhD,62900.0,1,4.0,37.0,6,No,13,No,No,2022-03-25
2060,Operations,Operations Executive,Male,20.0,Married,Master's,,0,4.0,23.0,11,No,12,No,No,2023-04-28
1296,Engineering,Senior Engineer,Female,36.0,Single,PhD,170100.0,6,5.0,38.0,5,No,8,No,No,2017-07-27
1314,Finance,Financial Analyst,Male,27.0,Divorced,Master's,78700.0,1,3.0,33.0,14,Yes,14,No,No,2022-06-17
1799,Operations,Operations Executive,Male,34.0,Married,Master's,62500.0,2,2.0,45.0,32,No,15,No,No,2021-07-02
1951,ENGINEERING,Software Engineer,Female,43.0,Single,High School,95700.0,17,3.0,74.0,1,No,16,No,No,2006-06-23
1575,Human Resources,Recruiter,Male,28.0,Divorced,Master's,,10,2.0,45.0,7,No,9,No,No,2013-08-13
1462,Customer Support,Support Team Lead,Female,24.0,Single,Bachelor's,59900.0,1,4.0,7.0,3,No,14,No,No,2022-10-19
1391,CUSTOMER SUPPORT,Support Executive,Female,56.0,Divorced,Master's,48000.0,0,4.0,51.0,26,No,20,No,No,2023-04-03
1060,Human Resources,Recruiter,Male,29.0,Married,Bachelor's,63500.0,11,4.0,68.0,4,No,16,Yes,No,2012-09-01
1768,Sales,Account Manager,Female,33.0,Divorced,Master's,96500.0,0,3.0,29.0,11,Yes,7,No,No,2023-03-30
1972,Customer Support,Support Executive,Female,21.0,Divorced,High School,41500.0,3,3.0,31.0,2,No,10,No,No,2020-12-20
2365,Human Resources,HR Manager,Male,,Divorced,Bachelor's,67900.0,0,5.0,26.0,2,Yes,17,No,No,2023-09-21
2372,FINANCE,Financial Analyst,Female,39.0,Single,,69600.0,0,4.0,43.0,14,No,19,No,No,2023-09-28
1003,Operations,Operations Manager,Female,37.0,Divorced,High School,64700.0,2,4.0,11.0,7,No,10,Yes,No,2021-07-13
1181,Engineering,QA Engineer,Female,42.0,Married,Bachelor's,85500.0,1,5.0,30.0,1,Yes,11,No,No,2022-08-31
1434,IT,System Administrator,Female,35.0,Divorced,Master's,83100.0,9,4.0,43.0,4,No,17,Yes,No,2014-09-06
1237,Human Resources,HR Manager,Male,36.0,Married,Bachelor's,80600.0,7,4.0,37.0,1,No,7,No,No,23/10/2016
2497,IT,System Administrator,Male,45.0,Married,Bachelor's,80300.0,16,2.0,53.0,1,Yes,19,No,Yes,2007-04-29
1611,Finance,Financial Analyst,Male,46.0,Married,Bachelor's,63400.0,1,2.0,45.0,4,No,16,No,No,2022-05-09
2326,Finance, Accountant  ,Male,47.0,Divorced,Bachelor's,72100.0,8,3.0,31.0,14,No,13,Yes,No,2015-12-22
1006,Marketing,Marketing Executive,Female,43.0,Married,Master's,69200.0,0,3.0,24.0,5,No,11,No,No,2023-09-16
1430,Finance,Accountant,Female,39.0,Single,Master's,74500.0,2,4.0,55.0,6,No,15,Yes,No,2021-07-10
2086,Finance, Financial Analyst  ,Female,37.0,Divorced,Bachelor's,63700.0,4,4.0,40.0,4,No,8,Yes,No,2019-08-28
1751,Marketing,Marketing Manager,Male,20.0,Married,Master's,,1,4.0,51.0,3,No,12,No,No,2022-08-11
2248,IT,IT Support,Female,36.0,Divorced,Master's,74400.0,1,4.0,59.0,9,Yes,15,No,Yes,2022-08-21
1975,Operations,Operations Executive,Male,38.0,Married,Bachelor's,47900.0,1,4.0,47.0,1,Yes,8,No,No,2022-09-01
2225,Operations,Operations Manager,Female,54.0,Single,Bachelor's,74200.0,8,4.0,32.0,15,Yes,6,No,No,2015-09-09
1487,Engineering,Software Engineer,Female,27.0,Married,Bachelor's,81800.0,1,4.0,30.0,1,No,15,No,No,2022-06-17
1640,Engineering,Software Engineer,Male,36.0,Married,Bachelor's,83700.0,5,4.0,21.0,1,No,11,No,No,2018-09-25
2368,Human Resources,Recruiter,Female,25.0,Single,Master's,66000.0,7,5.0,34.0,10,No,18,Yes,No,2016-11-25
2406,IT,IT Support,Male,36.0,Divorced,High School,66600.0,0,4.0,32.0,4,No,13,No,No,2023-08-02
2172,Marketing,Marketing Manager,Female,31.0,Divorced,Bachelor's,86500.0,3,3.0,38.0,18,Yes,10,Yes,No,2020-11-16
2011,Finance,Accountant,Male,20.0,Single,Bachelor's,62700.0,2,3.0,44.0,6,Yes,12,No,No,2021-08-14
2236,Sales,Sales Manager,Female,28.0,Single,Master's,82000.0,0,3.0,29.0,34,No,10,No,No,2023-08-01
2076,Customer Support,Support Team Lead,Female,30.0,Single,Master's,70600.0,10,2.0,54.0,1,No,9,No,No,2013-03-18
1765,Human Resources,HR Executive,Male,33.0,Married,Master's,61600.0,2,4.0,43.0,11,No,14,No,No,2021-10-26
2101,Human Resources,HR Manager,Male,20.0,Married,Master's,75300.0,2,3.0,,16,Yes,2,No,No,07/12/2021
1747,Engineering,Software Engineer,Male,35.0,Divorced,Master's,98200.0,4,3.0,47.0,5,No,8,No,No,2019-06-01
2469,Operations,Operations Manager,Male,32.0,Married,Bachelor's,71000.0,4,3.0,49.0,20,No,10,No,No,2019-09-12
1532,Operations,Operations Manager,Male,28.0,Divorced,Master's,95700.0,10,4.0,63.0,1,No,11,No,No,2013-12-12
2063,Human Resources,HR Manager,male,35.0,Divorced,High School,64400.0,0,2.0,13.0,6,No,13,No,Yes,2023-03-28
1056,Human Resources,Recruiter,Male,40.0,,Master's,61600.0,8,3.0,48.0,13,No,9,No,No,2015-06-23
1481,Human Resources,HR Executive,Female,43.0,Married,Bachelor's,49100.0,6,3.0,59.0,1,No,11,No,No,2017-12-12
1558,Customer Support,Support Team Lead,Male,38.0,Divorced,Bachelor's,59600.0,3,4.0,57.0,3,Yes,9,No,No,17/03/2020
1248,Customer Support,Support Team Lead,Male,28.0,Divorced,Master's,70200.0,0,3.0,40.0,45,Yes,9,No,No,2023-03-26
2282,Engineering,Software Engineer,Female,27.0,Divorced,Bachelor's,94400.0,9,3.0,65.0,4,Yes,18,No,Yes,2014-09-10
2371,Sales,Account Manager,Male,32.0,Single,PhD,108200.0,10,5.0,28.0,1,Yes,14,Yes,No,2013-09-06
1324,Operations,Operations Executive,Male,29.0,Married,Bachelor's,52900.0,0,2.0,28.0,14,No,12,Yes,No,2023-05-22
1954,Marketing,Marketing Manager,Female,36.0,Married,Bachelor's,87600.0,1,3.0,,1,No,9,No,No,2022-11-23
1642,Operations,Operations Manager,Female,31.0,Divorced,Bachelor's,76800.0,9,2.0,29.0,1,No,12,No,Yes,2014-06-28
2201,IT,IT Manager,Female,42.0,Divorced,High School,78700.0,0,5.0,26.0,1,No,10,Yes,No,2023-08-23
1223,Finance,Accountant,Male,35.0,Single,PhD,80800.0,1,3.0,40.0,7,Yes,16,No,Yes,2022-05-01
1357,Operations,Operations Executive,Female,58.0,Single,Master's,66300.0,1,5.0,17.0,19,No,13,Yes,No,2022-06-20
2155,Marketing,Content Strategist,Male,34.0,Married,Master's,60200.0,0,3.0,59.0,2,Yes,15,No,No,2023-11-28
1667,Human Resources,HR Manager,Male,46.0,Single,Master's,82900.0,0,2.0,34.0,8,No,11,No,No,2023-10-07
1259,Marketing,Content Strategist,Female,31.0,Divorced,High School,47100.0,0,2.0,42.0,25,Yes,8,No,Yes,2023-08-20
2050,Marketing,Content Strategist,Male,36.0,Married,Bachelor's,62700.0,3,1.0,39.0,10,No,6,No,Yes,2020-07-06
1490,Operations,Operations Manager,Male,34.0,Single,Bachelor's,75500.0,5,4.0,27.0,9,No,9,No,No,2018-11-23
1310,FINANCE,Financial Analyst,Male,38.0,Divorced,Bachelor's,,1,2.0,37.0,3,No,17,No,Yes,2022-06-05
2477,Operations,Operations Executive,male,27.0,Single,Master's,56600.0,1,4.0,51.0,3,No,13,Yes,No,2022-06-22
2242,Operations,Operations Manager,Male,39.0,Divorced,Bachelor's,89600.0,8,4.0,33.0,5,No,5,No,No,2015-06-04
2411,OPERATIONS, Operations Manager  ,Female,27.0,Married,PhD,89100.0,2,2.0,49.0,3,Yes,9,No,Yes,2021-06-25
2353,Finance,Accountant,Female,47.0,Divorced,Bachelor's,62800.0,3,5.0,29.0,21,No,18,No,Yes,2020-09-22
2083,Operations,Operations Executive,Female,60.0,Single,Bachelor's,54700.0,0,3.0,36.0,33,Yes,13,No,Yes,2023-09-23
1327,IT,IT Support,Female,33.0,Single,Bachelor's,74000.0,4,5.0,54.0,7,No,7,No,No,2019-12-18
1459,Customer Support,Support Team Lead,Male,35.0,Married,Master's,67500.0,0,4.0,11.0,20,Yes,13,Yes,Yes,2023-08-24
1776,Human Resources,HR Executive,Female,46.0,Divorced,Master's,62200.0,10,2.0,43.0,1,No,17,No,Yes,2013-09-21
2205,Human Resources,HR Executive,Male,24.0,Divorced,Master's,52400.0,0,3.0,52.0,2,No,10,No,No,2023-05-31
1743,Sales,Account Manager,Male,37.0,Divorced,Bachelor's,82900.0,1,4.0,8.0,1,No,11,Yes,Yes,2022-05-22
2447,Operations,Operations Manager,Female,27.0,Divorced,Master's,81400.0,4,3.0,29.0,1,No,17,Yes,No,2019-12-18
1851,Finance,Finance Manager,Female,47.0,Divorced,Bachelor's,96400.0,1,3.0,52.0,1,Yes,17,No,No,2022-09-25
1733,Finance,Financial Analyst,Male,42.0,Single,Bachelor's,83800.0,18,3.0,51.0,3,Yes,9,No,No,2005-05-23
2103,Marketing,Marketing Manager,Male,33.0,Divorced,Master's,99600.0,2,4.0,0.0,4,No,12,No,No,2021-11-23
1696,Marketing,Content Strategist,Male,41.0,Divorced,Master's,66900.0,0,4.0,21.0,7,Yes,6,No,No,2023-06-17
1217,Finance, Finance Manager  ,Female,41.0,Married,Master's,115300.0,1,4.0,44.0,1,Yes,11,No,No,2022-04-10
1081,OPERATIONS,Operations Manager,Male,49.0,Single,Bachelor's,90100.0,9,2.0,19.0,1,No,11,No,No,2014-06-12
1706,Finance,Accountant,Male,30.0,Single,Bachelor's,62200.0,3,2.0,36.0,15,No,12,No,No,2020-09-27
1917,Sales,Sales Manager,Female,41.0,Single,Master's,86200.0,0,2.0,,3,No,13,No,Yes,2023-12-30
2177,SALES,Account Manager,Male,43.0,Divorced,Bachelor's,83500.0,0,3.0,56.0,6,No,17,No,No,2023-08-07
2122,Finance,Finance Manager,Male,37.0,Divorced,High School,88300.0,5,4.0,51.0,4,No,13,No,Yes,2018-04-01
1593,Engineering,QA Engineer,Male,21.0,Married,PhD,115300.0,2,3.0,11.0,15,Yes,15,No,No,2021-05-26
1591,Human Resources,Recruiter,male,24.0,Single,Bachelor's,54900.0,0,4.0,53.0,1,No,14,No,No,2023-05-28
1405,Sales,Account Manager,Male,53.0,Divorced,Master's,90700.0,0,4.0,19.0,31,No,14,No,Yes,2023-05-24
1338,IT,IT Support,Male,30.0,Single,Bachelor's,62300.0,0,4.0,47.0,8,No,11,Yes,No,2023-08-08
1798,Sales,Account Manager,Female,24.0,Divorced,Master's,89700.0,1,4.0,24.0,2,Yes,9,No,No,2022-04-30
1630,HUMAN RESOURCES,HR Executive,Female,42.0,Single,Bachelor's,47100.0,1,2.0,36.0,7,No,7,No,No,2022-08-13
1007,Marketing,Content Strategist,Female,42.0,Single,Master's,68000.0,1,4.0,21.0,6,No,12,No,No,2022-08-16
2276,Engineering,QA Engineer,Male,32.0,Married,Master's,113200.0,4,3.0,28.0,6,Yes,21,No,No,2019-06-09
1149,IT,IT Support,Female,36.0,Married,Bachelor's,73200.0,2,3.0,32.0,1,No,13,No,No,2021-06-24
2015,IT,System Administrator,Male,43.0,Single,Bachelor's,79400.0,13,5.0,38.0,5,No,6,No,No,2010-08-28
1443,Engineering, Software Engineer  ,Male,34.0,Single,Master's,95000.0,1,5.0,18.0,8,No,12,No,No,2022-06-13
1022,Marketing,Marketing Manager,Male,35.0,Divorced,PhD,115900.0,1,3.0,31.0,5,Yes,10,No,No,2022-12-25
1977,Human Resources,HR Manager,Male,60.0,Single,Bachelor's,73300.0,8,5.0,23.0,13,Yes,14,No,No,2015-11-28
1508,Customer Support,Support Team Lead,Female,45.0,Single,Bachelor's,53300.0,0,5.0,27.0,7,Yes,11,No,No,2023-11-19
1423,Sales,Sales Executive,Female,41.0,Divorced,Bachelor's,64100.0,6,4.0,22.0,4,No,7,No,No,2017-03-12
1901,Finance,Finance Manager,Male,33.0,Single,Bachelor's,87100.0,3,4.0,37.0,1,No,14,No,No,2020-10-10
1705,Engineering,Software Engineer,male,39.0,Married,Bachelor's,87300.0,0,4.0,31.0,1,No,13,Yes,No,2023-09-19
1792,Human Resources,HR Executive,Male,47.0,Divorced,Bachelor's,54700.0,2,2.0,28.0,5,Yes,9,No,No,2021-07-14
2126,Customer Support,Support Team Lead,Male,25.0,Single,Master's,65500.0,4,4.0,48.0,11,No,14,No,No,2019-05-26
1897,Engineering,Senior Engineer,Male,20.0,Single,Bachelor's,134000.0,2,3.0,51.0,3,Yes,8,No,No,2021-03-20
1555,Sales,Account Manager,Male,37.0,Divorced,Bachelor's,85000.0,1,3.0,21.0,13,No,11,No,Yes,2022-08-09
2390,Operations,Operations Manager,Female,40.0,Single,Master's,77200.0,0,3.0,52.0,13,No,5,No,No,2023-09-09
1260,Operations,Operations Manager,female,46.0,Married,Master's,82400.0,1,4.0,50.0,1,No,16,Yes,No,2022-08-02
1614,Engineering,Software Engineer,Male,47.0,Divorced,Bachelor's,78100.0,1,5.0,33.0,7,No,5,No,No,2022-07-19
1115,Operations,Operations Manager,Male,35.0,Married,Bachelor's,84900.0,5,4.0,50.0,9,Yes,13,No,Yes,2018-11-30
1617,Marketing,Marketing Executive,Male,44.0,Married,High School,52200.0,0,4.0,47.0,9,Yes,8,No,No,2023-10-06
2494,IT,IT Support,Female,26.0,Single,Bachelor's,64300.0,1,4.0,49.0,1,No,9,No,No,2022-09-11
1491,Operations,Operations Executive,Male,39.0,Married,Master's,62700.0,1,5.0,19.0,13,No,14,No,Yes,2022-04-06
2001,Finance,Finance Manager,Female,,Single,Bachelor's,97900.0,8,4.0,57.0,4,No,10,Yes,No,2015-06-18
1282,Finance,Financial Analyst,Female,40.0,Divorced,Bachelor's,68800.0,2,2.0,34.0,4,No,13,No,No,2021-10-22
1510,Operations,Operations Executive,Male,43.0,Divorced,Master's,73600.0,8,3.0,44.0,5,No,12,No,No,2015-10-23
2338,Operations,Operations Executive,Male,50.0,Single,,68200.0,3,3.0,76.0,34,Yes,9,No,Yes,2020-11-20
2360,Operations,Operations Executive,male,37.0,Divorced,High School,50300.0,2,3.0,21.0,6,No,8,No,No,2021-06-26
1674,Engineering,QA Engineer,Male,21.0,Single,Bachelor's,85000.0,1,3.0,59.0,2,No,15,No,No,2022-03-31
1575,Human Resources,Recruiter,Male,28.0,Divorced,Master's,,10,2.0,45.0,7,No,9,No,No,2013-08-13
1322,Sales,Sales Executive,Female,32.0,Single,PhD,72700.0,4,5.0,55.0,1,No,8,No,No,2019-07-17
1305,FINANCE, Accountant  ,Male,31.0,Married,Master's,81800.0,1,5.0,33.0,8,No,11,No,No,2022-10-04
2461,CUSTOMER SUPPORT,Support Executive,Male,46.0,Divorced,PhD,68700.0,15,3.0,39.0,3,No,5,Yes,No,2008-08-19
1272,Operations,Operations Executive,Female,34.0,Married,Bachelor's,55200.0,1,3.0,59.0,1,Yes,10,No,No,2022-06-09
2355,Human Resources,HR Executive,Male,46.0,Single,High School,50300.0,5,4.0,24.0,5,No,11,No,No,2018-07-04
2080,Sales,Sales Manager,Male,37.0,Single,Bachelor's,71100.0,1,5.0,52.0,6,Yes,6,No,No,2022-12-01
1054,IT,IT Manager,Female,35.0,Single,Bachelor's,107100.0,2,4.0,32.0,3,No,12,No,No,2021-06-16
1717,Sales,Account Manager,Female,44.0,Single,Bachelor's,77700.0,1,,33.0,12,No,10,No,N,2022-12-19
1592,Customer Support,Support Team Lead,Male,45.0,Married,High School,60200.0,4,4.0,35.0,7,No,4,Yes,No,2019-08-20
